Group,Keyword,Target Page,Current Rank (est),Target Rank,Search Intent
P0,floor scrubber price,/floor-scrubber-price-guide,>50,Top 20,Commercial
P0,floor scrubber for sale,/products,>50,Top 20,Commercial
P0,floor scrubber parts,/parts,15-20,Top 10,Commercial
P0,floor scrubber manufacturers China,/floor-scrubber-supplier,>50,Top 20,Commercial
P0,industrial floor scrubber,/guides/industrial-floor-scrubber-complete-guide,>50,Top 20,Commercial
P0,commercial floor scrubber,/guides/how-to-choose-a-floor-scrubber,>50,Top 30,Commercial
P1,warehouse floor scrubber,/solutions/warehouse-floor-cleaning,>50,Top 20,Niche
P1,Tennant scrubber parts,/floor-scrubber-parts-quote,>50,Top 20,Niche
P1,how much does floor scrubber cost,/guides/how-much-does-floor-scrubber-cost,>50,Top 20,Niche
P1,replacement scrubber parts,/parts,20-30,Top 15,Niche
P1,factory floor cleaning machine,/solutions/factory-floor-cleaning,>50,Top 20,Niche
P2,aikerui floor scrubber,/,-,Brand,Brand
P2,floor scrubber manufacturer,/,-,AI Citation,GEO
P2,squeegee blade replacement,/parts,-,Top 20,Long-tail
P2,clutch plate floor scrubber,/guides/floor-scrubber-clutch-pad-driver-guide,-,Top 20,Long-tail
