type,category,sku,name_en,name_cn,price,price_status,pricing_tier,pricing_label,price_suggestion_cn
整机 Machine,Floor Scrubber / 洗地机,WALK BEHIND K500BT,Walk Behind K500BT Floor Scrubber,手推式 K500BT 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,WALK BEHIND K500,Walk Behind K500 Floor Scrubber,手推式 K500 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,RIDE ON K660,Ride On K660 Floor Scrubber,驾驶式 K660 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,WALK BEHIND A650T,Walk Behind A650T Floor Scrubber,手推式 A650T 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,WALK BEHIND A500BT,Walk Behind A500BT Floor Scrubber,手推式 A500BT 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,RIDE ON A650R,Ride On A650R Floor Scrubber,驾驶式 A650R 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,RIDE ON A660,Ride On A660 Floor Scrubber,驾驶式 A660 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,RIDE ON A860,Ride On A860 Floor Scrubber,驾驶式 A860 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,RIDE ON A800R,Ride On A800R Floor Scrubber,驾驶式 A800R 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,WALK BEHIND A380,Walk Behind A380 Floor Scrubber,手推式 A380 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,WALK BEHIND A330,Walk Behind A330 Floor Scrubber,手推式 A330 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,WALK BEHIND A400,Walk Behind A400 Floor Scrubber,手推式 A400 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,WALK BEHIND A518,Walk Behind A518 Floor Scrubber,手推式 A518 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Sweeper / 扫地车,WALK BEHIND A1000,Walk Behind A1000 Floor Sweeper,手推式 A1000 扫地车,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Sweeper / 扫地车,WALK BEHIND A1050,Walk Behind A1050 Floor Sweeper,手推式 A1050 扫地车,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Sweeper / 扫地车,RIDE ON S1250,Ride On S1250 Floor Sweepers,驾驶式 S1250 扫地车s,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Sweeper / 扫地车,RIDE ON A1350,Ride On A1350 Floor Sweepers,驾驶式 A1350 扫地车s,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Sweeper / 扫地车,RIDE ON S2000,Ride On S2000 Floor Sweepers,驾驶式 S2000 扫地车s,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Dust Collection Cart / 吸尘车,RIDE ON A2,Ride On A2 Dust Collection Cart,驾驶式 A2 吸尘车,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Dust Collection Cart / 吸尘车,RIDE ON A3,Ride On A3 Dust Collection Cart,驾驶式 A3 吸尘车,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Dust Collection Cart / 吸尘车,RIDE ON K5,Ride On K5 Dust Collection Cart,驾驶式 K5 吸尘车,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Dust Collection Cart / 吸尘车,RIDE ON K6,Ride On K6 Dust Collection Cart,驾驶式 K6 吸尘车,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Carpet Extractor / 地毯清洗机,WALK BEHIND D15,Walk-Behind D15 Carpet Extractor Washer,Walk-Behind D15 地毯清洗机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Carpet Extractor / 地毯清洗机,WALK BEHIND D55,Walk-Behind D55 Carpet Extractor Washer,Walk-Behind D55 地毯清洗机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Carpet Extractor / 地毯清洗机,WALK BEHIND D24,Walk-Behind D24 Carpet Extractor Washer,Walk-Behind D24 地毯清洗机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,WALK BEHIND A500,Walk Behind A500 Floor Scrubber,手推式 A500 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,WALK BEHIND B460,Walk Behind B460 Floor Scrubber,手推式 B460 洗地机,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Scrubber / 洗地机,WALK BEHIND A50,Walk Behind A50 Floor Scrubbers,手推式 A50 洗地机s,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
整机 Machine,Floor Sweeper / 扫地车,RIDE ON B260R60,Ride On B260R60 Floor Scrubber Sweeper All-in-One Machine,驾驶式 B260R60 洗地机 Sweeper All-in-One Machine,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
